county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,Justice Court Clerk ,Audrey Bailey,"P.O. Box 1048, Natchez 39121",(601) 442-0199,(601) 445-7902,,,,,,2016-2020 Blue Book,
Alcorn,Justice Court Clerk ,Jone Dixon,"P.O. Box 226, Corinth 38835-0226",(662) 286-7776,(662) 286-2157,,,,,,2016-2020 Blue Book,
Amite,Justice Court Clerk ,Melanie Netterville," P.O. Box 362, Liberty 39645",(601) 657-4527,(601) 657-8604,,,,,,2016-2020 Blue Book,
Attala,Justice Court Clerk ,Murllean Hogsett," 100 Courthouse, Ste. 4, Kosciusko 39090",(662) 289-7272,(662) 289-0105,,,,,,2016-2020 Blue Book,
Benton,Justice Court Clerk ,Vicky Everett," P.O. Box 152, Ashland 38603",(662) 224-6320,(662) 224-6313,,,,,,2016-2020 Blue Book,
Bolivar,Justice Court Clerk ,Gloria D. Klauder,"P.O. Box 1507, Cleveland 38732",(662) 843-4008,(662) 846-6783,,,,,,2016-2020 Blue Book,
Calhoun,Justice Court Clerk ,Tracy McGuirt,"P.O. Box 7, Pittsboro 38951",(662) 412-3134,,,,,,,2016-2020 Blue Book,
Carroll,Justice Court Clerk (D-1),Jackie Clay,"P.O. Box 26, Carrollton 38917",(662) 464-8868,(662) 237-6833,,,,,,2016-2020 Blue Book,
Carroll,Justice Court Clerk (D-2),Mary Jane King,"P.O. Box 474, Vaiden 39176",(662) 464-8868,(662) 464-8824,,,,,,2016-2020 Blue Book,
Chickasaw,Justice Court Clerk (Post 1),Deloise Rhodes,"1 Pinson Square, Houston 38851",(662) 456-3941,(662) 448-8122,,,,,,2016-2020 Blue Book,
Chickasaw,Justice Court Clerk (Post 2),Sue Gann,"234 W. Main St., Rm. 207, Okolona 38860",(662) 447-3402,(662) 447-5020,,,,,,2016-2020 Blue Book,
Choctaw,Justice Court Clerk ,Heather Wood,"140 Jail House Rd., Ackerman 39735",(662) 285-3599,(662) 285-9039,,,,,,2016-2020 Blue Book,
