county,position,name,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,verified
Adams,Tax Collector,Peter Burns Jr,"115 South Wall St., Natchez 39120",(601) 442-8601,(601) 445-7909,,,,,,2016-2020 Blue Book,
Alcorn,Tax Collector,Larry Ross,"P.O. Box 190, Corinth 38835-0190 ",(662) 286-7750,(662) 286-5713,,,,,,2016-2020 Blue Book,
Amite,Tax Collector,Eunice Blake,"P.O. Box 356, Liberty 39645",(601) 657-8973,(601) 657-1083,,,,,,2016-2020 Blue Book,
Attala,Tax Collector,Brenda Williams," 112 N. Wells St., Kosciusko 39090",(662) 289-4711,(662) 289-7667,,,,,,2016-2020 Blue Book,
Benton,Tax Collector,Shannon Wilburn," P.O. Box 337, Ashland 38603",(662) 224-6315,(662) 224-6303,,,,,,2016-2020 Blue Book,
Bolivar,Tax Collector,Nancy J. Havens,"P.O. Box 248, Cleveland 38732",(662) 843-2285,(662) 846-2936,"P.O. Box 339, Rosedale 38769",(662) 759-6244,,,,2016-2020 Blue Book,
Calhoun,Tax Collector,Bill Malone,"P.O. Box 6, Pittsboro 38951",(662) 412-3140,(662) 412-3143,,,,,,2016-2020 Blue Book,
Carroll,Tax Collector,Wilton A. Neal,"P.O. Box 156, Vaiden 39176",(662) 464-8852,(662) 464-8802,"P.O. Box 193, Carrollton 38917",(662) 237-9217,(662) 237-4659,,,2016-2020 Blue Book,
Chickasaw,Tax Collector,Sue Ard," 234 W. Main St., Rm. 204, Okolona 38860",(662) 447-2242,(662) 447-5022," 1 Pinson Square, Rm. 3, Houston 38851",(662) 456-3327,(662) 456-5496,,,2016-2020 Blue Book,
Choctaw,Tax Collector,Lori Power Kerr,"P.O. Box 907, Ackerman 39735",(662) 285-6320,(662) 285-9067,,,,,,2016-2020 Blue Book,
Claiborne,Tax Collector,Diane T. Davaul,"P.O. Box 469, Port Gibson 39150",(601) 437-5591,(601) 437-3419,,,,,,2016-2020 Blue Book,
Clarke,Tax Collector,Hope Moore Herrington," P.O. Drawer 69, Quitman 39355",(601) 776-6931,(601) 776-5084,,,,,,2016-2020 Blue Book,
Clay,Tax Collector,Paige Lampkin,"P.O. Box 795, West Point 39773",(662) 494-3432,(662) 494-7452,,,,,,2016-2020 Blue Book,
Coahoma,Tax Collector,Hattie B. Shivers,"P.O. Box 219, Clarksdale 38614",(662) 624-3020,(662) 624-3075,,,,,,2016-2020 Blue Book,
Copiah,Tax Collector,April S. Holloway," P.O. Box 705, Hazlehurst 39083",(601) 894-2731,(601) 894-3026,,,,,,2016-2020 Blue Book,
Covington,Tax Collector,Cindy Aultman Sanford,"P.O. Box 1537, Collins 39428",(601) 765-6402,(601) 765-1052,,,,,,2016-2020 Blue Book,
Desoto,Tax Collector,Joey Treadway," 365 Losher St., Hernando 38632",(662) 469-8030,(662) 469-8105,,,,,,2016-2020 Blue Book,
Forrest,Tax Collector,Delbert Dearman," P.O. Box 1689, Hattiesburg 39403",(601) 582-8228,(601) 545-6093,,,,,,2016-2020 Blue Book,
Franklin,Tax Collector,T. J. (Jeff) Mullins IV," P.O. Box 456, Meadville 39653",(601) 384-2359,(601) 384-3040,,,,,,2016-2020 Blue Book,
George,Tax Collector,Vincent E. (Vince) Carlisle," 5130 Main St., Ste. B, Lucedale 39452",(601) 947-7541,(601) 947-6597,,,,,,2016-2020 Blue Book,
Greene,Tax Collector,Mark Holder,"P.O. Box 477, Leakesville 39451",(601) 394-2378,(601) 394-6199,,,,,,2016-2020 Blue Book,
Grenada,Tax Collector,David Melton,"P.O. Box 1488, Grenada 38902-1488",(662) 226-1741,(662) 226-3701,,,,,,2016-2020 Blue Book,
Hancock,Tax Collector,Jimmie Ladner,"P.O. Box 2428, Bay St. Louis 39521",(228) 467-4425,(228) 466-6239,,,,,,2016-2020 Blue Book,
Harrison,Tax Collector,David LaRosa," P.O. Box 1270, Gulfport 39502",(228) 865-4039,(228) 865-4180,,,,,,2016-2020 Blue Book,
Hinds,Tax Collector,Eddie J. Fair,"P.O. Box 1727, Jackson 39215",(601) 968-6588,(601) 353-1261,"P.O. Box 51, Raymond 39154",(601) 857-5574,,,,2016-2020 Blue Book,
Holmes,Tax Collector,Linda Rollins,"P.O. Box 449, Lexington 39095",(662) 834-2865,(662) 834-9010,,,,,,2016-2020 Blue Book,
Humphreys,Tax Collector,Margaret (Mimi) Parks," 102 Castleman St., Belzoni 39038",(662) 247-2552,(662) 247-5657,,,,,,2016-2020 Blue Book,
